id,borough,senior officials,professional occupations,associate prof & tech occupations,administrative and secretarial occupations,skilled trades occupations,leisure and other service occupations,sales and customer service occupations,plant and machine operatives,elementary occupations,IMD
E09000002,Barking and Dagenham,8.4,9.3,10.3,9.3,27.4,1.8,5.9,17.9,9.7,25551.9
E09000003,Barnet,17.9,30.2,15.5,2.3,10.3,2.3,5.2,6.9,9.0,13803.4
E09000004,Bexley,11.9,24.2,14.4,4.6,20.4,2.0,5.0,10.7,6.1,13529.7
E09000005,Brent,11.7,35.4,10.9,0.0,11.4,3.4,9.5,7.1,8.9,21083.0
E09000006,Bromley,21.5,23.2,19.7,3.6,11.5,2.7,2.6,7.1,8.1,11297.5
E09000007,Camden,22.7,29.4,24.2,1.9,6.4,0.0,2.1,3.8,7.5,16763.3
E09000008,Croydon,13.7,26.6,16.1,4.4,14.0,3.5,4.8,5.3,9.9,18371.2
E09000009,Ealing,18.5,24.2,16.2,3.6,12.5,0.0,4.1,9.1,10.5,18991.7
E09000010,Enfield,16.7,16.7,17.9,4.0,13.9,0.0,6.2,16.7,6.6,20418.7
E09000011,Greenwich,17.2,23.0,16.1,5.4,10.4,3.2,2.9,7.8,14.0,20383.8
E09000012,Hackney,12.9,36.4,24.2,3.1,3.3,3.1,3.0,3.5,8.1,25312.6
E09000013,Hammersmith and Fulham,25.1,28.0,20.4,0.0,7.6,3.4,2.8,1.8,9.0,18643.5
E09000014,Haringey,16.9,29.0,11.7,3.3,18.3,3.8,3.9,7.0,6.2,21887.6
E09000015,Harrow,13.7,20.6,17.8,8.6,9.8,2.7,7.3,10.5,8.1,13071.3
E09000016,Havering,12.9,15.9,19.6,8.5,17.4,4.3,7.7,9.2,4.6,14036.0
E09000017,Hillingdon,15.8,24.6,17.0,3.8,11.8,3.3,6.0,11.3,5.7,15515.0
E09000018,Hounslow,15.5,26.0,16.6,5.1,7.6,0.0,5.9,11.3,8.8,18652.5
E09000019,Islington,13.9,31.0,24.4,6.3,6.8,2.2,3.2,5.2,6.9,22490.2
E09000020,Kensington and Chelsea,37.2,18.7,23.9,2.5,7.0,2.2,2.3,2.0,3.5,17177.5
E09000021,Kingston upon Thames,22.3,26.6,23.7,5.8,10.7,0,0.0,3.4,5.8,9412.3
E09000022,Lambeth,16.1,29.1,26.0,1.4,4.0,3.7,4.4,4.4,10.4,21351.4
E09000023,Lewisham,16.1,28.1,22.3,5.5,9.1,2.7,4.0,4.1,7.1,21959.3
E09000024,Merton,16.5,24.4,19.6,4.7,13.7,3.3,3.9,6.8,6.6,12224.6
E09000025,Newham,16.3,18.0,9.5,6.9,19.7,0.0,7.4,10.5,9.0,24138.7
E09000026,Redbridge,11.7,25.8,9.9,6.6,18.7,3.2,4.4,15.0,4.5,15082.6
E09000027,Richmond upon Thames,23.8,27.5,22.4,4.6,4.9,0.0,7.1,2.9,6.0,7159.2
E09000028,Southwark,16.2,26.4,25.0,3.8,8.1,3.1,4.5,3.7,9.4,21247.4
E09000029,Sutton,10.6,25.4,16.0,4.4,20.4,4.2,3.6,10.2,4.6,11415.3
E09000030,Tower Hamlets,13.1,26.9,25.0,5.6,7.7,3.4,4.5,7.9,5.8,22507.1
E09000031,Waltham Forest,11.5,18.9,25.2,4.1,18.7,3.2,2.8,12.6,3.0,21186.6
E09000032,Wandsworth,21.0,32.4,22.1,5.7,5.9,1.8,3.1,0.0,5.2,14312.2
E09000033,Westminster,21.6,34.9,21.7,3.7,0.0,5.6,3.5,4.0,2.4,16573.8
